experiment,mode,agent,episode,layout,numGhosts,trainingEpisodes,win,score,reward,steps,duration_sec,alpha,gamma,epsilon,strategy,timestamp,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11
ep400_ghosts2,train,q_learning,0,mediumClassic,2,400,0,-7.0,-2013.3690721649493,87,0.9591484069824219,0.006,0.99,0.3,epsilon_greedy,2025-11-22 04:16:01,-16.827585,0.082890,0.000000,0.000000,-12.187263,-12.089594,-11.977875,-11.628506,-0.558909,-16.356436,0.385943
ep400_ghosts2,train,q_learning,1,mediumClassic,2,400,0,-463.0,-2468.5278350515464,23,0.1302194595336914,0.006,0.99,0.3,epsilon_greedy,2025-11-22 04:16:01,-31.653313,0.228410,0.000000,0.000000,-11.398850,-18.814297,-26.177274,-25.836209,-3.434934,-31.014541,0.385943
ep400_ghosts2,train,q_learning,2,mediumClassic,2,400,0,-472.0,-2477.1731958762884,22,0.12895512580871582,0.006,0.99,0.3,epsilon_greedy,2025-11-22 04:16:02,-46.019141,0.369410,0.000000,0.000000,-10.794995,-32.691039,-40.096793,-39.762061,-6.244095,-45.254491,0.385943
ep400_ghosts2,train,q_learning,3,mediumClassic,2,400,0,-482.0,-2487.018556701031,22,0.13077902793884277,0.006,0.99,0.3,epsilon_greedy,2025-11-22 04:16:02,-60.024071,0.582720,0.000000,0.000000,-10.368082,-39.403013,-53.811232,-53.480962,-8.529410,-59.134146,0.385943
ep400_ghosts2,train,q_learning,4,mediumClassic,2,400,0,-472.0,-2477.1731958762884,22,0.12961196899414062,0.006,0.99,0.3,epsilon_greedy,2025-11-22 04:16:02,-73.588701,0.901828,0.000000,0.000000,-9.851526,-52.571342,-66.979560,-66.654718,-11.181955,-72.536555,0.385943
ep400_ghosts2,train,q_learning,5,mediumClassic,2,400,0,-639.0,-2729.284536082474,429,4.7611329555511475,0.006,0.99,0.3,epsilon_greedy,2025-11-22 04:16:07,-87.736834,1.652343,0.000000,0.000000,-5.451908,-54.946554,-68.301445,-68.029867,-11.076559,-83.563513,0.385943
ep400_ghosts2,train,q_learning,6,mediumClassic,2,400,0,-473.0,-2478.3731958762887,23,0.13598322868347168,0.006,0.99,0.3,epsilon_greedy,2025-11-22 04:16:07,-100.721950,1.765505,0.000000,0.000000,-4.886152,-67.381970,-80.815980,-80.550350,-13.164836,-96.409186,0.385943
ep400_ghosts2,train,q_learning,7,mediumClassic,2,400,0,-230.0,-772.3195876288647,500,5.060590982437134,0.006,0.99,0.3,epsilon_greedy,2025-11-22 04:16:12,-100.721950,3.023517,0.000000,0.000000,0.245514,-51.187363,-65.420122,-65.217045,-10.444857,-93.276586,0.385943
ep400_ghosts2,train,q_learning,8,mediumClassic,2,400,0,-401.0,-2409.2103092783505,31,0.16440057754516602,0.006,0.99,0.3,epsilon_greedy,2025-11-22 04:16:12,-113.903686,3.764956,0.000000,0.000000,1.836975,-62.648713,-76.963387,-76.777667,-11.420474,-105.940267,0.385943
ep400_ghosts2,train,q_learning,9,mediumClassic,2,400,0,-499.0,-2503.1092783505155,19,0.12694287300109863,0.006,0.99,0.3,epsilon_greedy,2025-11-22 04:16:12,-126.356526,3.586433,0.000000,0.000000,2.200366,-74.550542,-88.980569,-88.798624,-12.746502,-118.351240,0.385943
ep400_ghosts2,train,q_learning,10,mediumClassic,2,400,0,-498.0,-2501.9092783505157,18,0.11212348937988281,0.006,0.99,0.3,epsilon_greedy,2025-11-22 04:16:12,-138.678539,3.408127,0.000000,0.000000,2.565176,-79.366482,-100.122404,-99.944246,-13.866661,-130.517150,0.385943
ep400_ghosts2,train,q_learning,11,mediumClassic,2,400,0,-499.0,-2503.1092783505155,19,0.11877632141113281,0.006,0.99,0.3,epsilon_greedy,2025-11-22 04:16:12,-150.453820,3.219889,0.000000,0.000000,2.978040,-90.558917,-111.498338,-111.324470,-15.298516,-142.275064,0.385943
ep400_ghosts2,train,q_learning,12,mediumClassic,2,400,0,-482.0,-2487.018556701031,22,0.12709856033325195,0.006,0.99,0.3,epsilon_greedy,2025-11-22 04:16:12,-162.236990,3.218821,0.000000,0.000000,3.596308,-94.382980,-121.339428,-121.172025,-17.013437,-153.587124,0.385943
ep400_ghosts2,train,q_learning,13,mediumClassic,2,400,0,-488.0,-2492.0639175257734,18,0.10843133926391602,0.006,0.99,0.3,epsilon_greedy,2025-11-22 04:16:13,-173.704111,3.018022,0.000000,0.000000,4.406012,-99.323213,-132.155605,-131.996655,-18.103252,-164.998763,0.385943
ep400_ghosts2,train,q_learning,14,mediumClassic,2,400,0,-499.0,-2503.1092783505155,19,0.1236724853515625,0.006,0.99,0.3,epsilon_greedy,2025-11-22 04:16:13,-184.863566,2.741701,0.000000,0.000000,4.829572,-103.605678,-142.153409,-141.998860,-19.351372,-175.964456,0.385943
ep400_ghosts2,train,q_learning,15,mediumClassic,2,400,0,-455.0,-2461.082474226804,25,0.1398634910583496,0.006,0.99,0.3,epsilon_greedy,2025-11-22 04:16:13,-195.608397,3.072158,0.000000,0.000000,5.823160,-112.873954,-151.562351,-151.418331,-20.490698,-186.345026,0.385943
ep400_ghosts2,train,q_learning,16,mediumClassic,2,400,0,-486.0,-2489.6639175257733,16,0.10707402229309082,0.006,0.99,0.3,epsilon_greedy,2025-11-22 04:16:13,-205.934936,3.090751,0.000000,0.000000,6.754248,-121.944474,-160.660374,-160.526071,-21.240906,-196.442478,0.385943
ep400_ghosts2,train,q_learning,17,mediumClassic,2,400,0,-490.0,-2494.4639175257735,20,0.1195535659790039,0.006,0.99,0.3,epsilon_greedy,2025-11-22 04:16:13,-216.340708,3.278233,0.000000,0.000000,7.394860,-125.299368,-169.339569,-169.211940,-22.344405,-206.420908,0.385943
ep400_ghosts2,train,q_learning,18,mediumClassic,2,400,0,-437.0,-2443.791752577319,27,0.1418590545654297,0.006,0.99,0.3,epsilon_greedy,2025-11-22 04:16:13,-226.698666,3.833528,0.000000,0.000000,8.698334,-128.510939,-177.868093,-177.754407,-23.252334,-216.254338,0.385943
ep400_ghosts2,train,q_learning,19,mediumClassic,2,400,0,-497.0,-2500.7092783505154,17,0.11408829689025879,0.006,0.99,0.3,epsilon_greedy,2025-11-22 04:16:13,-236.223648,3.833528,0.000000,0.000000,9.239902,-136.305091,-185.727505,-185.619449,-24.027758,-225.453925,0.385943
ep400_ghosts2,train,q_learning,20,mediumClassic,2,400,0,-482.0,-2487.018556701031,22,0.1286146640777588,0.006,0.99,0.3,epsilon_greedy,2025-11-22 04:16:13,-245.519944,3.788388,0.000000,0.000000,9.980318,-144.943688,-194.544874,-194.444558,-25.804407,-234.675372,0.385943
ep400_ghosts2,train,q_learning,21,mediumClassic,2,400,0,-500.0,-2504.309278350516,20,0.12553095817565918,0.006,0.99,0.3,epsilon_greedy,2025-11-22 04:16:14,-254.942695,3.490303,0.000000,0.000000,10.572327,-148.072079,-202.570983,-202.476822,-26.809903,-243.866861,0.385943
ep400_ghosts2,train,q_learning,22,mediumClassic,2,400,0,-445.0,-2451.237113402062,25,0.13375329971313477,0.006,0.99,0.3,epsilon_greedy,2025-11-22 04:16:14,-263.892578,3.928577,0.000000,0.000000,11.834327,-155.498450,-210.235948,-210.155217,-27.751440,-252.427988,0.385943
ep400_ghosts2,train,q_learning,23,mediumClassic,2,400,0,-481.0,-2485.818556701031,21,0.13350677490234375,0.006,0.99,0.3,epsilon_greedy,2025-11-22 04:16:14,-272.935913,3.928577,0.000000,0.000000,12.875431,-158.402655,-217.608010,-217.538181,-28.996200,-261.165410,0.385943
ep400_ghosts2,train,q_learning,24,mediumClassic,2,400,0,-489.0,-2493.263917525773,19,0.12374258041381836,0.006,0.99,0.3,epsilon_greedy,2025-11-22 04:16:14,-281.754014,3.928577,0.000000,0.000000,13.780910,-160.917306,-224.537125,-224.476755,-29.859799,-269.636080,0.385943
ep400_ghosts2,train,q_learning,25,mediumClassic,2,400,0,-491.0,-2495.6639175257733,21,0.125,0.006,0.99,0.3,epsilon_greedy,2025-11-22 04:16:14,-290.380390,3.739451,0.000000,0.000000,14.446333,-162.759159,-230.919556,-230.866117,-30.778709,-277.830089,0.385943
ep400_ghosts2,train,q_learning,26,mediumClassic,2,400,0,-491.0,-2495.6639175257733,21,0.1280529499053955,0.006,0.99,0.3,epsilon_greedy,2025-11-22 04:16:14,-298.808704,3.550089,0.000000,0.000000,15.113376,-165.340839,-237.972042,-237.925553,-31.796941,-286.018227,0.385943
ep400_ghosts2,train,q_learning,27,mediumClassic,2,400,0,-500.0,-2504.309278350516,20,0.1278378963470459,0.006,0.99,0.3,epsilon_greedy,2025-11-22 04:16:14,-307.020690,3.238792,0.000000,0.000000,15.661871,-167.678090,-244.518033,-244.477245,-32.616979,-293.942058,0.385943
