experiment,mode,agent,episode,layout,numGhosts,trainingEpisodes,win,score,reward,steps,duration_sec,alpha,gamma,epsilon,strategy,timestamp,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11
ep400_ghosts2,train,sarsa,0,mediumClassic,2,400,0,-51.0,-2055.3958762886605,81,0.44055938720703125,0.006,0.99,0.3,epsilon_greedy,2025-11-22 04:35:15,-16.724846,0.005754,0.000000,0.064757,4.144779,-12.604445,-12.464711,-12.525578,-0.379239,-16.256750,0.386385
ep400_ghosts2,train,sarsa,1,mediumClassic,2,400,0,-498.0,-2501.9092783505157,18,0.06847405433654785,0.006,0.99,0.3,epsilon_greedy,2025-11-22 04:35:15,-31.368985,0.005754,0.000000,0.064757,4.321225,-27.185953,-27.216569,-27.279265,-2.018212,-30.945838,0.386385
ep400_ghosts2,train,sarsa,2,mediumClassic,2,400,0,-495.0,-2511.237113402062,75,0.37461066246032715,0.006,0.99,0.3,epsilon_greedy,2025-11-22 04:35:15,-45.845248,0.519754,0.000000,0.064757,5.117937,-33.709841,-41.446416,-41.517645,-4.411523,-45.253371,0.386385
ep400_ghosts2,train,sarsa,3,mediumClassic,2,400,0,-490.0,-2494.4639175257735,20,0.07434797286987305,0.006,0.99,0.3,epsilon_greedy,2025-11-22 04:35:15,-59.793942,0.110214,0.000000,0.064757,5.442271,-40.421210,-55.549679,-55.624288,-6.425127,-59.351800,0.386385
ep400_ghosts2,train,sarsa,4,mediumClassic,2,400,0,-428.0,-2435.146391752577,28,0.08274221420288086,0.006,0.99,0.3,epsilon_greedy,2025-11-22 04:35:15,-73.610611,0.322731,0.000000,0.064757,5.982607,-46.788544,-68.967169,-69.047350,-7.726143,-73.035342,0.386385
ep400_ghosts2,train,sarsa,5,mediumClassic,2,400,0,-498.0,-2501.9092783505157,18,0.06949901580810547,0.006,0.99,0.3,epsilon_greedy,2025-11-22 04:35:15,-86.677407,0.322731,0.000000,0.064757,6.248115,-59.872992,-82.611226,-82.694163,-9.247530,-86.321879,0.386385
ep400_ghosts2,train,sarsa,6,mediumClassic,2,400,0,-350.0,-1031.2886597938127,500,1.9514274597167969,0.006,0.99,0.3,epsilon_greedy,2025-11-22 04:35:17,-86.677407,1.113430,0.000000,0.064757,8.273962,-55.763059,-81.567396,-81.673198,-8.824163,-85.617055,0.449074
ep400_ghosts2,train,sarsa,7,mediumClassic,2,400,0,-320.0,-961.546391752576,500,2.3353641033172607,0.006,0.99,0.3,epsilon_greedy,2025-11-22 04:35:20,-86.677407,1.113430,0.000000,0.064757,10.107236,-51.500658,-80.264349,-80.391187,-8.199377,-85.233543,0.488847
ep400_ghosts2,train,sarsa,8,mediumClassic,2,400,0,-442.0,-2447.6371134020615,22,0.07417726516723633,0.006,0.99,0.3,epsilon_greedy,2025-11-22 04:35:20,-99.773480,1.113430,0.000000,0.064757,10.140879,-57.807046,-93.292511,-93.419397,-10.837822,-98.384049,0.488847
ep400_ghosts2,train,sarsa,9,mediumClassic,2,400,0,-463.0,-2468.5278350515464,23,0.08888483047485352,0.006,0.99,0.3,epsilon_greedy,2025-11-22 04:35:20,-112.468633,1.113430,0.000000,0.064757,9.812258,-64.278416,-106.237383,-106.360536,-12.977072,-111.207304,0.488847
